Transaction_Date,arima_pred
2025-07-17,1669.1436311485
2025-07-18,2083.453568497141
2025-07-19,2185.0549988167586
2025-07-20,2022.8337659783056
2025-07-21,1728.4976979243584
2025-07-22,1668.0289250989006
2025-07-23,1980.6868607540075
2025-07-24,2211.874757083267
2025-07-25,2140.43907715066
2025-07-26,1958.8664965666408
2025-07-27,1780.754119936012
2025-07-28,1804.098652590326
2025-07-29,2073.423869631678
2025-07-30,2189.4358859463105
2025-07-31,2043.539294196654
2025-08-01,1904.7040104842306
2025-08-02,1834.2540630874034
2025-08-03,1896.5614647492412
2025-08-04,2103.701712751722
2025-08-05,2138.3927530093115
2025-08-06,1969.317254126731
2025-08-07,1887.9495876770793
2025-08-08,1894.1146948336946
2025-08-09,1957.8607035577306
2025-08-10,2099.3349787542425
2025-08-11,2085.2965903604445
2025-08-12,1924.50085430322
2025-08-13,1896.5588483053955
2025-08-14,1948.253612098038
2025-08-15,1991.6183588806564
