Transaction_Date,arima_pred
2025-07-12,3.2324926492120083
2025-07-13,4.84390647575858
2025-07-14,4.310327076823648
2025-07-15,4.387383131096559
2025-07-16,3.8678287413784167
2025-07-17,5.3362433028700895
2025-07-18,3.574418707669494
2025-07-19,4.834183405584323
2025-07-20,4.573354114105675
2025-07-21,4.295816819604256
2025-07-22,4.520971284394684
2025-07-23,4.782848739548358
2025-07-24,4.338327389147949
2025-07-25,4.581558467128438
2025-07-26,4.844228712111994
2025-07-27,4.352187501446044
2025-07-28,4.756810261344393
2025-07-29,4.722496024748713
2025-07-30,4.574195538678987
2025-07-31,4.693375457476812
2025-08-01,4.825342504880236
2025-08-02,4.591189697277587
2025-08-03,4.778560003610537
2025-08-04,4.817244183731414
2025-08-05,4.673993837297873
2025-08-06,4.813173543759753
2025-08-07,4.831885683636745
2025-08-08,4.745911599769558
2025-08-09,4.830605685322821
2025-08-10,4.870242657733859
